bloque,cfg,nombre,dia,minZ,elev,unidad_o_pareja,bisection_deg,barrido_fino_deg,delta_deg,cruces
bt3dPairMaxMag,22,"Zaragoza · valle 1 · N-S constante 0° · quebrado · medios ×2 · 8 filas · az 15°",21-jun,320,7.595,pareja 3,15.673928,15.650000,0.02392757,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 0,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 1,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 2,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 3,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 4,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 5,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 6,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 7,15.673232,15.650000,0.02323240,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-mar,1040,9.753,pareja 8,15.673232,15.650000,0.02323240,1
